Nodes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,,,,,
27,2,14,,1,2,,5,,,2,,2,,,,,,,10,,,,,1,3,10,,5,1,,,2,1,,3,3,1,3,5,,,2,,,,2,,10,,,,,2,,,,,9,,4,,,,,,,,1,1,,,,10,3,,,,,,,,,,,,
28,,,,,,,2,,1,20,,3,,,,,,,10,,,,,,,1,3,-,,,,1,,,,,,1,12,,,,,,,2,,3,,,,,,,,,,3,,3,3,1,,,,,,,5,,,,15,,,,,,,,,,,,,
29,,,,,1,,,,,5,,1,,,,,,,,,,1,,3,,3,2,,,2,,,,1,2,,,,1,,,,,,,6,,2,,2,,,,,,,,,,,,,,,,,,2,2,12,,,5,,,1,,,,,,,,,,
30,,,,,,,1,,,2,,1,,,,,,8,,1,,1,1,,,,,2,1,,,2,,,,,5,,,,,,,2,1,,,,,1,15,,,,,25,,2,,,20,,,,,1,,2,1,,,,1,1,,1,,,,,,,,,,
31,,,1,2,,3,,,2,,4,,3,1,,,7,3,,,5,3,,,,,,,,,,,1,,,1,,,5,2,3,1,,,14,5,3,,,,,5,,7,,,10,,3,,,5,5,3,2,5,3,,,,5,1,,,1,20,,3,1,14,1,,,,,
32,,,,,,,,1,,2,1,2,,1,1,,,4,,1,,5,10,1,,5,1,1,1,1,1,,1,,,,5,1,,,6,,,2,5,1,,2,,1,5,,2,,,4,,,,2,2,2,1,1,,1,,20,2,1,,1,1,2,,,1,,1,,1,,,,,
33,34,,,,,,,14,,,,,,5,,,1,,,,,,,,,,,,,,1,,,,4,,,,,,,19,,4,2,,,,21,,,4,5,,2,,,,,,,,,,,,,,,,,,,,1,2,,1,2,1,,,,,,
34,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,1,1,,,,1,,7,,2,,,,,,35,1,,30,,3,,,,,,,,,,,,,,,,,,,,,1,4,,,5,,,,,,,,,,,,,
35,,7,,,3,,,,,,,2,,,,,,,,,,,,5,,3,2,,,,,2,1,7,,,2,1,,,,,,,,3,,4,,,,1,,,,,,2,,,2,,,,,,,,2,,,,4,7,,,,,,,,,,,,
36,2,,2,5,,1,,1,1,,4,,10,2,1,,,5,,,20,20,,,1,,,,,,1,,1,,,,,,,5,3,2,,1,10,,1,2,2,,,20,,2,,,5,,3,,,3,3,7,,1,5,,,,5,2,,,2,2,5,2,,,,,,,,
37,,3,,3,,2,,,,,,3,,,2,,2,,,,,,,2,,,,,,5,2,5,,,,,,,2,2,1,2,,,1,,,3,,,5,,5,4,,5,,5,,5,,2,,,,,,6,3,3,,1,3,,,,,1,3,,,,,,,
38,,1,,1,1,,,1,,3,,1,,2,,,,,,,,,,,3,2,,,,,,3,,,1,1,2,,,1,,,1,1,,,,4,1,,,,,,,,,,,,,,,,,,,3,1,,,1,3,21,,,,,,,,,,,,
39,,2,,,1,,1,,,20,,4,,,2,,,,35,,,,,,,,6,10,,,1,,,,,,,,,,,,,,,2,,3,,,,,,,,,,6,,30,,,,,,1,,1,2,,,,14,1,,,,,,,,,,,,
40,3,,3,4,3,,,,2,,2,,4,1,,,2,3,,,8,2,,,,3,,,,,2,,1,,,4,,,,,3,2,,,,,,,2,,,6,,,3,,,,3,,,4,,3,,2,3,,,,,3,,,,2,8,5,,1,4,,,,,
41,1,,2,,,1,,,1,,5,1,1,2,,,1,3,,,2,14,,1,,,,,,,2,14,,,,3,1,,,3,,,,,14,,2,,,,,2,,,,,1,,2,,,4,2,1,,1,1,,,,,2,,,,2,1,1,,,,,,,,
42,5,1,,,,7,,4,1,,1,,3,8,1,,,2,,,1,5,,,1,,,,,,,,10,,,2,1,,,3,3,,,1,3,,1,1,25,5,,2,2,1,6,2,,,1,,,1,1,2,,,,,,,1,1,,,1,,2,2,1,2,1,,,,,
43,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,35,,,,16,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
