date, pm25
2021/11/1, 155
2021/11/2, 115
2021/11/3, 67
2021/11/4, 112
2021/11/5, 115
2021/10/1, 87
2021/10/2, 47
2021/10/3, 50
2021/10/30, 153
2021/10/31, 155
2021/9/1, 66
2021/9/2, 74
2021/9/3, 58
2021/9/4, 48
2021/9/5, 45
2021/9/6, 49
2021/9/7, 34
2021/9/8, 28
2021/9/9, 36
2021/9/10, 50
2021/9/11, 43
2021/9/12, 37
2021/9/13, 28
2021/9/14, 52
2021/9/15, 68
2021/9/16, 68
2021/9/17, 67
2021/9/18, 75
2021/9/19, 103
2021/9/20, 70
2021/9/21, 44
2021/9/22, 51
2021/9/23, 53
2021/9/24, 58
2021/9/25, 55
2021/9/26, 55
2021/9/27, 61
2021/9/28, 41
2021/9/29, 43
2021/9/30, 63
2021/8/1, 39
2021/8/2, 40
2021/8/3, 45
2021/8/4, 32
2021/8/5, 43
2021/8/6, 63
2021/8/7, 79
2021/8/8, 91
2021/8/9, 72
2021/8/10, 91
2021/8/11, 68
2021/8/12, 67
2021/8/13, 66
2021/8/14, 71
2021/8/15, 47
2021/8/16, 55
2021/8/17, 64
2021/8/18, 59
2021/8/19, 43
2021/8/23, 85
2021/8/24, 89
2021/8/25, 100
2021/8/26, 62
2021/8/27, 85
2021/8/28, 59
2021/8/29, 71
2021/8/30, 62
2021/8/31, 63
2021/7/1, 54
2021/7/2, 53
2021/7/3, 61
2021/7/4, 80
2021/7/5, 86
2021/7/6, 86
2021/7/7, 78
2021/7/8, 67
2021/7/9, 49
2021/7/10, 52
2021/7/11, 57
2021/7/12, 40
2021/7/13, 38
2021/7/14, 25
2021/7/15, 30
2021/7/16, 37
2021/7/17, 47
2021/7/18, 58
2021/7/19, 27
2021/7/20, 37
2021/7/21, 44
2021/7/22, 36
2021/7/23, 50
2021/7/24, 41
2021/7/25, 47
2021/7/26, 46
2021/7/27, 49
2021/7/28, 37
2021/7/29, 42
2021/7/30, 49
2021/7/31, 44
2021/6/1, 56
2021/6/2, 69
2021/6/3, 63
2021/6/4, 59
2021/6/5, 65
2021/6/6, 53
2021/6/7, 52
2021/6/8, 62
2021/6/9, 45
2021/6/10, 33
2021/6/11, 39
2021/6/12, 30
2021/6/13, 33
2021/6/14, 36
2021/6/15, 25
2021/6/16, 34
2021/6/17, 35
2021/6/18, 65
2021/6/19, 57
2021/6/20, 75
2021/6/21, 126
2021/6/22, 118
2021/6/23, 109
2021/6/24, 77
2021/6/25, 58
2021/6/26, 59
2021/6/27, 60
2021/6/28, 66
2021/6/29, 75
2021/6/30, 64
2021/5/1, 127
2021/5/2, 88
2021/5/3, 91
2021/5/4, 96
2021/5/5, 81
2021/5/6, 70
2021/5/7, 56
2021/5/8, 49
2021/5/9, 49
2021/5/10, 62
2021/5/11, 83
2021/5/12, 74
2021/5/13, 79
2021/5/14, 83
2021/5/15, 42
2021/5/16, 56
2021/5/17, 56
2021/5/18, 61
2021/5/19, 53
2021/5/20, 57
2021/5/21, 85
2021/5/22, 91
2021/5/23, 104
2021/5/24, 103
2021/5/25, 100
2021/5/26, 101
2021/5/27, 75
2021/5/28, 70
